,Date,Open,High,Low,Close,Volume,pct_change,turnover,Amount,change_amount,Amplitude,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes,prediction,predict_percentages,actual_percentage
2004,2024-04-18,35.63417367,38.04735078,35.63417367,37.34912187,25809442,4.3463,1.2376,781525021.04,1.555703009999995,6.4611347982945215,2024,4,18,35.25443514,36.004112496,36.757464741,51.66240409207161,-0.6042760714739899,-0.6137927808294691,0.009516709355479214,50.35292635918834,36.72439074,1.126433241483743,38.97725722296748,34.47152425703251,24.05,4.346338124572191,1.1348407221428585,35.79341886,34.64195364,35.79341886,34.64195364,35.93052719080826,0.3830545814707875,-1.0207
2005,2024-04-19,36.52839666,37.44711891,36.52839666,36.68764185,13087177,-1.7711,0.6276,394250255.64,-0.6614800199999991,2.5041736227045126,2024,4,19,35.607224484,35.983288125,36.72439074,48.73341375150783,-0.5238218418664928,-0.5957985930368739,0.07197675117038105,50.346462550482734,36.635580922500004,1.0494638842862039,38.73450869107241,34.536653153927595,24.05,-1.771072482781233,1.104216647142859,37.34912187,35.63417367,38.04735078,35.63417367,37.10465519667572,-0.654544634744525,1.1924
2006,2024-04-22,36.66314259,37.66761225,36.66314259,36.73664037,11570789,0.1336,0.5548,350997023.9,0.04899852000000493,2.7342447482494108,2024,4,22,36.104559462,35.913465234,36.635580922500004,51.06382978723407,-0.45090970776527683,-0.5668208159825545,0.11591110821727768,50.34077326560265,36.5424837345,0.9433870706132546,38.42925787572651,34.65570959327349,24.05,0.13355592654424875,1.0937169642857154,36.68764185,36.52839666,37.44711891,36.52839666,36.39341985835027,-0.8019648492336273,0.3503
2007,2024-04-23,36.0139122,36.96938334,36.0139122,36.18540702,8776341,-1.5005,0.4208,260988671.47,-0.551233350000004,2.640487474610698,2024,4,23,36.30790332,35.912240270999995,36.5424837345,43.59637774902975,-0.4326192749764033,-0.5399805077813243,0.10736123280492105,50.33628644014537,36.4775606955,0.9195709507672948,38.31670259703459,34.638418793965414,24.05,-1.5005001667222517,1.0832172814285725,36.73664037,36.66314259,37.66761225,36.66314259,36.42571368749983,-0.8463666774332523,-2.888
2008,2024-04-24,36.35690184,37.31237298,36.35690184,37.15312779,13053460,2.6743,0.6259,394087304.62,0.9677207699999997,2.571711177052424,2024,4,24,36.550445994,35.87916627,36.4775606955,48.03337306317043,-0.3361619311677302,-0.49921679245860556,0.16305486129087537,50.33007424629189,36.480623103,0.9218236931331709,38.32427048926634,34.63697571673366,24.05,2.6743398781313488,1.1129663828571437,36.18540702,36.0139122,36.96938334,36.0139122,35.92507449785169,-0.7194406352937222,-1.0458
2009,2024-04-25,36.69989148,37.4838678,36.69989148,37.22662557,8319794,0.1978,0.3989,251990576.73,0.07349778000000384,2.1059559065482083,2024,4,25,36.82238778,36.03841146,36.480623103,49.217809867629356,-0.25089596218751353,-0.4495526264043872,0.19865666421687367,50.32613994471153,36.4640861025,0.904290805999674,38.27266771449935,34.65550449050065,24.05,0.1978239366963397,1.132215801428572,37.15312779,36.35690184,37.31237298,36.35690184,36.90312654648322,-0.6728942040354013,1.255
2010,2024-04-26,36.94488408,38.31684264,36.94488408,37.98610263,18044376,2.0401,0.8653,554567765.33,0.7594770599999947,3.611738148984188,2024,4,26,36.79788852,36.202556502,36.4640861025,56.00475624256835,-0.12064786247722736,-0.38377167361895526,0.2631238111417279,50.31810939851637,36.511859659500004,0.9593586057309853,38.43057687096197,34.59314244803804,24.05,2.040144784468567,1.1785894007142856,37.22662557,36.69989148,37.4838678,36.69989148,36.99916270719574,-0.611021975055337,-1.4025
2011,2024-04-29,37.83910707,39.51730638,37.83910707,38.73333006,20839049,1.9671,0.9993,659587946.31,0.7472274300000024,4.3327008222644,2024,4,29,37.057580676,36.581070069,36.511859659500004,60.24915062287656,0.04238116005906534,-0.29854110688335117,0.3409222669424165,50.30940926076616,36.601281958499996,1.077875673764949,38.757033306029896,34.445530610970096,24.05,1.967107384714617,1.252087180714286,37.98610263,36.94488408,38.31684264,36.94488408,37.775015531596985,-0.5556955933570862,-0.2316
2012,2024-04-30,38.37809079,39.18656637,38.37809079,38.5863345,14195649,-0.3795,0.6807,449197389.58,-0.14699556000000058,2.0952380952380945,2024,4,30,37.456918614,36.882410967,36.601281958499996,65.11627906976744,0.15790133349850777,-0.20725261880697937,0.36515395230548714,50.303415006879916,36.7041788505,1.1652392867404133,39.034657423980825,34.373700277019175,24.05,-0.3795066413662229,1.2310878150000002,38.73333006,37.83910707,39.51730638,37.83910707,38.490582599378186,-0.6267146673053503,-1.1273
2013,2024-05-06,39.45605823,40.68102123,39.45605823,39.79904787,24472454,3.1429,1.1735,797535327.04,1.212713370000003,3.0778701138812004,2024,5,6,37.93710411,37.243775052000004,36.7041788505,68.8183807439825,0.3433498141875475,-0.09713213220807401,0.44048194639562155,50.2941636996607,36.8242252245,1.3495867995584947,39.523398823616986,34.12505162538301,24.05,3.1428571428571583,1.333459722857143,38.5863345,38.37809079,39.18656637,38.37809079,38.34429075954145,-0.627278396859765,2.381
