tic,type,quantity,price,high,low,day
002905,buy,100,5.750020922105759,5.8,5.7,2024-09-03
000776,buy,100,11.511497014691122,11.74,11.5,2024-09-03
002001,sell,100,17.992992701530458,18.58,18.31,2024-09-04
601336,buy,100,40.71523889351688,42.0873399,40.73822505,2024-09-04
601628,buy,100,33.31765023626475,33.94,32.66,2024-09-04
601319,buy,100,7.218067316602386,7.27326567,6.97357485,2024-09-04
300442,buy,100,21.476568623483182,22.37,21.92,2024-09-04
601877,buy,100,17.92364466737956,18.35,17.96,2024-09-04
600795,buy,100,5.079186200466938,5.05,4.96,2024-09-04
002905,buy,100,5.763370154425502,5.76,5.64,2024-09-04
000776,buy,100,11.766017306409777,11.83,11.61,2024-09-04
002001,sell,100,18.484200417399403,18.77,18.41,2024-09-05
601336,buy,100,40.43451500111536,41.8351689,40.9021362,2024-09-05
601628,buy,100,32.94415266474243,33.38,32.72,2024-09-05
601319,buy,100,7.040178413063762,7.12342026,6.97357485,2024-09-05
300442,buy,100,21.72957133874297,22.31,21.71,2024-09-05
601877,buy,100,18.056856609438544,18.46,18.06,2024-09-05
600795,buy,100,5.034164395001716,5.03,4.91,2024-09-05
002905,buy,100,5.706691175743472,5.89,5.7,2024-09-05
000776,buy,100,11.687861919701099,11.73,11.61,2024-09-05
002001,sell,100,18.224698222056034,18.63,18.31,2024-09-06
601336,buy,100,41.17877069477324,42.6925503,41.3308269,2024-09-06
601628,buy,100,33.294250622182155,33.67,32.95,2024-09-06
601319,buy,100,7.121987902510451,7.20410625,7.0312077,2024-09-06
300442,buy,100,21.852251259763726,21.88,21.12,2024-09-06
601877,buy,100,18.176879308652133,18.33,17.92,2024-09-06
600795,buy,100,4.968682792992332,4.99,4.89,2024-09-06
002905,buy,100,5.895005344245583,5.89,5.75,2024-09-06
000776,buy,100,11.760948386811652,11.95,11.69,2024-09-06
002001,sell,100,18.566099634863203,18.51,17.92,2024-09-09
601336,buy,100,41.40740134274256,41.9864715,41.0534388,2024-09-09
601628,buy,100,33.1705996207206,33.4,32.77,2024-09-09
601319,buy,100,7.053207741394282,7.13494683,6.99662799,2024-09-09
300442,buy,100,21.689749268330633,21.46,20.87,2024-09-09
601877,buy,100,17.844441579841078,18.06,17.67,2024-09-09
600795,buy,100,4.914975750725716,4.92,4.71,2024-09-09
002905,buy,100,5.8128408265113825,5.86,5.7,2024-09-09
000776,buy,100,11.713447506951633,11.78,11.56,2024-09-09
002001,sell,100,18.20989708956331,18.35,17.86,2024-09-10
601336,buy,100,40.92589793676857,41.3812611,40.4986626,2024-09-10
601628,buy,100,32.848101088218975,33.09,32.46,2024-09-10
601319,buy,100,6.988126221066777,7.05426084,6.96204828,2024-09-10
300442,buy,100,21.853304301127793,22.16,20.88,2024-09-10
601877,buy,100,17.684706810191276,17.85,17.44,2024-09-10
600795,buy,100,4.7712507651466876,4.8,4.62,2024-09-10
002905,buy,100,5.904905838146806,5.86,5.69,2024-09-10
000776,buy,100,11.642900904663838,11.73,11.55,2024-09-10
002001,sell,100,18.272468319945038,18.06,17.76,2024-09-11
601336,buy,100,40.72671232896166,41.0534388,40.095189,2024-09-11
601628,buy,100,32.780549002997574,33.17,32.56,2024-09-11
601319,buy,100,6.969087955769034,7.08884055,6.86983572,2024-09-11
300442,buy,100,22.478713005036116,22.14,21.71,2024-09-11
601877,buy,100,17.654474794492124,18.0,17.63,2024-09-11
600795,buy,100,4.730414901617914,4.71,4.48,2024-09-11
002905,buy,100,5.892288340888918,5.85,5.66,2024-09-11
000776,buy,100,11.641299546430819,11.78,11.62,2024-09-11
002001,sell,100,17.78027454184368,18.0,17.6,2024-09-12
601336,buy,100,40.36374693847687,40.6499652,39.8178009,2024-09-12
601628,buy,100,32.54071933513507,33.14,32.6,2024-09-12
601319,buy,100,6.840136302625018,6.93899514,6.78914973,2024-09-12
300442,buy,100,21.982734364837814,22.69,22.05,2024-09-12
601877,buy,100,17.892581992980556,18.27,17.91,2024-09-12
600795,buy,100,4.540766859417782,4.59,4.48,2024-09-12
002905,buy,100,5.746565912012011,5.8,5.68,2024-09-12
000776,buy,100,11.625103625506162,11.75,11.63,2024-09-12
002001,sell,100,17.833240800071508,18.06,17.6,2024-09-13
601336,buy,100,40.59787113422386,41.36865255,40.15823175,2024-09-13
601628,buy,100,32.65501925791614,33.56,32.92,2024-09-13
601319,buy,100,6.804825910881098,6.99662799,6.84678258,2024-09-13
300442,buy,100,21.76944723248482,22.64,22.1,2024-09-13
601877,buy,100,18.00260146117071,18.17,17.9,2024-09-13
600795,buy,100,4.552448212439194,4.6,4.51,2024-09-13
002905,buy,100,5.706497977040708,5.71,5.57,2024-09-13
000776,buy,100,11.670872964865993,11.83,11.65,2024-09-13
002001,sell,100,17.87433788277209,18.32,17.77,2024-09-18
601336,buy,100,40.694387234824404,41.3056098,40.2212745,2024-09-18
601628,buy,100,32.83307197582908,34.51,33.23,2024-09-18
601319,buy,100,6.800848128453631,6.99662799,6.84678258,2024-09-18
300442,buy,100,22.109629560960457,22.71,21.98,2024-09-18
601877,buy,100,17.995317567943133,18.15,17.87,2024-09-18
600795,buy,100,4.5643111800076435,4.58,4.49,2024-09-18
002905,buy,100,5.587875210754573,5.65,5.39,2024-09-18
000776,buy,100,11.799689713981934,11.77,11.56,2024-09-18
002001,sell,100,17.646224890719168,18.37,17.91,2024-09-19
601336,buy,100,41.047356609232985,41.57038935,40.38518565,2024-09-19
601628,buy,100,33.79372231341898,34.17,33.59,2024-09-19
601319,buy,100,6.883249719015063,6.99662799,6.85830915,2024-09-19
300442,buy,100,22.42879101181868,22.59,21.85,2024-09-19
601877,buy,100,18.01842204048764,18.3,18.0,2024-09-19
600795,buy,100,4.585138085451908,4.6,4.45,2024-09-19
002905,buy,100,5.498388470441569,5.75,5.49,2024-09-19
000776,buy,100,11.806136143291369,11.93,11.65,2024-09-19
002001,sell,100,18.049442021604627,18.08,17.81,2024-09-20
601336,buy,100,41.08783789534491,41.5325637,40.9525704,2024-09-20
601628,buy,100,33.61660351613536,34.35,33.65,2024-09-20
601319,buy,100,6.884480545976746,7.01968113,6.90441543,2024-09-20
300442,buy,100,22.42658485179767,22.62,22.13,2024-09-20
601877,buy,100,18.12555967908411,18.19,17.8,2024-09-20
600795,buy,100,4.566733350430149,4.61,4.52,2024-09-20
002905,buy,100,5.684060680445983,5.7,5.61,2024-09-20
000776,buy,100,11.909805634254589,11.81,11.67,2024-09-20
002001,sell,100,17.931833634318316,18.11,17.83,2024-09-23
601336,buy,46,41.12340191264785,42.32690235,41.11648155,2024-09-23
601628,buy,-1,33.58252678923309,34.79,33.77,2024-09-23
601319,buy,4,6.871813956363118,7.06578741,6.90441543,2024-09-23
300442,buy,0,22.39195369328372,22.41,21.79,2024-09-23
